"Кампания ""Единая перфоманс-кампания №4 от 13-10-2025"" (704073639), период 02.02.2026 - 06.02.2026"
"Всего по поисковым запросам";;"Ср.расход за день (руб.)";"Показы";"Клики";"CTR (%)";"Расход (руб.)";"Ср. цена клика (руб.)";"Конверсия (%)";"Цена цели (руб.)";"Конверсии"
"с 02.02.2026 по 06.02.2026";;336,28;2332;168;7,20;1681,39;10,01;3,57;280,23;6

"Дата";"Поисковый запрос";"Группа";"№ Группы";"Условие показа";"Тип соответствия";"Подобранная фраза";"Категория таргетинга";"Показы";"Клики";"CTR (%)";"Расход (руб.)";"Ср. цена клика (руб.)";"Конверсия (%)";"Цена цели (руб.)";"Конверсии"
04.02.2026;"айрапетова оксана викторовна психиатр психотерапевт";"Тревога и паника";5662806799;"психотерапевт -онлайн";"семантическое";-;"Альтернативные запросы";1;1;100,00;75,11;75,11;-;-;0
05.02.2026;"психологическая помощь онлайн";"Тревога и паника";5662806799;"психолог онлайн консультация -цена";"семантическое";-;"Широкие запросы";1;1;100,00;58,88;58,88;-;-;0
04.02.2026;"от тревоги болит сердце что можно принять для успокоения";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";3;3;100,00;52,29;17,43;-;-;0
04.02.2026;"психотерапевт это";"Тревога и паника";5662806799;"психотерапевт -онлайн";"семантическое";-;"Сопутствующие запросы";14;2;14,29;47,25;23,62;-;-;0
05.02.2026;"сильная тревога как убрать";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;1;100,00;45,60;45,60;-;-;0
03.02.2026;"гипноз от панических атак и тревожности";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;1;100,00;42,81;42,81;-;-;0
05.02.2026;"психолог онлайн цена";"Тревога и паника";5662806799;"психолог онлайн -записываться -консультация -анонимный -помощь";"семантическое";-;"Широкие запросы";1;1;100,00;41,33;41,33;-;-;0
04.02.2026;"психотерапевт минск";"Тревога и паника";5662806799;"психотерапевт -онлайн";"семантическое";-;"Широкие запросы";1;1;100,00;38,61;38,61;-;-;0
04.02.2026;"онлайн клиника психологии";"Тревога и паника";5662806799;"психолог онлайн -записываться -консультация -анонимный -помощь";"семантическое";-;"Широкие запросы";1;1;100,00;38,35;38,35;-;-;0
04.02.2026;"психотерапевт для подростка онлайн";"Тревога и паника";5662806799;"психотерапевт онлайн консультация";"семантическое";-;"Узкие запросы";1;1;100,00;37,33;37,33;-;-;0
