"Клиент Пользователь подписки (badver), период 06.02.2026 - 13.02.2026"
"Всего по поисковым запросам";;"Ср.расход за день (руб.)";"Показы";"Клики";"CTR (%)";"Расход (руб.)";"Ср. цена клика (руб.)";"Конверсия (%)";"Цена цели (руб.)";"Конверсии"
"с 06.02.2026 по 13.02.2026";;390,90;737;83;11,26;3127,22;37,68;-;0,00;0

"Дата";"Поисковый запрос";"Кампания";"№ Кампании";"Группа";"№ Группы";"Условие показа";"Тип соответствия";"Подобранная фраза";"Категория таргетинга";"Показы";"Клики";"CTR (%)";"Расход (руб.)";"Ср. цена клика (руб.)";"Конверсия (%)";"Цена цели (руб.)";"Конверсии"
06.02.2026;"амитриптилин от тревоги";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
06.02.2026;"анаприлин помогает при панических атаках";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
06.02.2026;"аспаркам от тревоги поможет ли";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
06.02.2026;"аспаркам от тревоги поможет ли после алкоголя";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
06.02.2026;"атаракс помогает от панических атак";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
06.02.2026;"атаракс при тревоге и панических атаках по сколько пить";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
06.02.2026;"атаракс при тревожности у взрослого";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
06.02.2026;"афобазол от тревоги и стресса";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
06.02.2026;"беспалтная онлайн помощь психолога";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"психолог онлайн консультация -цена";"семантическое";-;"Целевые запросы";1;0;0,00;0,00;-;-;-;0
06.02.2026;"борьба с паническими атаками и тревожным состоянием видео";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
06.02.2026;"бруспирон когда снимает тревогу";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
06.02.2026;"буспирон как быстро снимает тревожность";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
06.02.2026;"буспирон когда начинает убирать тревогу";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
06.02.2026;"быстро снять и приступ тревоги лекарство";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
06.02.2026;"в 17 сайт психологов";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"психолог онлайн -записываться -консультация -анонимный -помощь";"семантическое";-;"Альтернативные запросы";1;0;0,00;0,00;-;-;-;0
06.02.2026;"венлафаксин противотревожный";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
06.02.2026;"видео психолога при панических атаках";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"психотерапевт панические атаки";"семантическое";-;"Сопутствующие запросы";2;0;0,00;0,00;-;-;-;0
06.02.2026;"видео сатья психолог лекции для женщин";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"психолог для женщин";"пословное";-;"Сопутствующие запросы";2;0;0,00;0,00;-;-;-;0
06.02.2026;"восстановление нервной системы после тревожного расстройства";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;1;100,00;3,26;3,26;-;-;0
06.02.2026;"все трясет от страха и стресса что пропить для успокоения есть стенокардия";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
06.02.2026;"высокая тревожность что делать";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";2;0;0,00;0,00;-;-;-;0
06.02.2026;"генерализованное тревожное расстройство клинические рекомендации";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";2;0;0,00;0,00;-;-;-;0
06.02.2026;"гимнастика при тревожности от шишонина";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
06.02.2026;"гипноз от страха тревог фобий";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
06.02.2026;"грандаксин как принимать правильно при панических атаках";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
06.02.2026;"грандаксин при тревожности кому помог";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
06.02.2026;"доктор шишонин как избавиться от тревоги и депрессии";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";3;0;0,00;0,00;-;-;-;0
06.02.2026;"дыхательная гимнастика при тревожности";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
06.02.2026;"дыхательные практики от тревожности";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;1;100,00;17,47;17,47;-;-;0
06.02.2026;"дыхательные упражнения для успокоения при тревожности и панических атак";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
06.02.2026;"дыхательные упражнения для успокоения при тревожности и панических атак видео упражнения";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
06.02.2026;"ежечернушко от тревожности";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
06.02.2026;"есть ли онлайн прием психотерапевта";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"психотерапевт онлайн консультация";"семантическое";-;"Целевые запросы";1;0;0,00;0,00;-;-;-;0
06.02.2026;"женский психолог мужчина лысый как зовут";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"женский психолог";"пословное";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
06.02.2026;"кае избавиться от чувства тревоги";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;1;100,00;4,59;4,59;-;-;0
06.02.2026;"как бороться с паническими атаками и тревогой самостоятельно";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";2;0;0,00;0,00;-;-;-;0
06.02.2026;"как бороться с сильной тревожностью";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
06.02.2026;"как бороться с тревогой";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";2;0;0,00;0,00;-;-;-;0
06.02.2026;"как бороться с тревожно депрессивным расстройством";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
06.02.2026;"как быстро избавиться от чувства тревоги";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
06.02.2026;"как быстро снять тревогу и нервное напряжение без вреда";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
06.02.2026;"как дома лечиться от панических атак";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
06.02.2026;"как записаться на онлайн консультацию к психотерапевту андрею курпатову";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"психотерапевт онлайн -консультация";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;-;-;0
06.02.2026;"как избавиться от постоянной тревоги";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
06.02.2026;"как избавиться от страха и тревоги";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";3;0;0,00;0,00;-;-;-;0
06.02.2026;"как избавиться от страха и тревожности методы";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
06.02.2026;"как избавиться от тревоги и панических атак";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
06.02.2026;"как избавиться от тревожности";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";2;0;0,00;0,00;-;-;-;0
06.02.2026;"как избавиться от тревожности и внутреннего беспокойства";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";2;1;50,00;4,57;4,57;-;-;0
06.02.2026;"как избавиться от чувства тревоги";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
06.02.2026;"как избавиться от этого тревожного чувства";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
06.02.2026;"как лечатся панические атаки и тревога у женщин";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
06.02.2026;"как побороть тревожность и навязчивые мысли";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";3;1;33,33;5,05;5,05;-;-;0
06.02.2026;"как помочь себе при панической атаке и тревоге дома";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
06.02.2026;"как проработать повышенную тревожность";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
06.02.2026;"как самостоятельно выйти из тревожно депрессивным расстройством";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";2;0;0,00;0,00;-;-;-;0
06.02.2026;"как снять сиюминутную сильную тревогу";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
