№ Кампании,Название кампании,Тип площадки,Тип объявления,Заголовок,Текст,"Расход, ₽",Показы,Клики,"CTR, %",Конверсии,"CR, %","CPA, ₽"
Итого,,,,,,2906.20,514,66,12.84,0,0.00,
704073639,Психолог Ксения,Поиск,Нейрообъявление,Освободитесь от тревоги за 8-12 сессий по методу КПТ,8 из 10 клиентов снижают уровень тревоги уже через 2 месяца. Конфиденциально.,9.51,14,1,7.14,0,0.00,-
704073639,Психолог Ксения,Поиск,Нейрообъявление,Помощь психолога. Онлайн,Тревога мешает полноценно жить? Обращайтесь!,99.67,31,3,9.68,0,0.00,-
704073639,Психолог Ксения,Поиск,Нейрообъявление,КПТ-психология онлайн. Бесплатная вводная встреча,Конфиденциально. Конкретные техники и упражнения. Поддержка на каждом этапе.,74.40,18,2,11.11,0,0.00,-
704073639,Психолог Ксения,Поиск,Нейрообъявление,Психолог онлайн. КПТ. Бесплатная встреча (30 минут),Конфиденциальная работа. Конкретные техники. Поддержка на каждом этапе.,1055.29,136,21,15.44,0,0.00,-
704073639,Психолог Ксения,Поиск,Нейрообъявление,Психолог по методу КПТ. Конфиденциально.,Помогу разобраться с тревожными состояниями. Конкретные техники. Запишитесь!,230.88,37,9,24.32,0,0.00,-
704073639,Психолог Ксения,Поиск,Текстово-графическое,Психолог онлайн. Работа с сильной тревогой.,Бережная работа с тревожностью и стрессом. Конфиденциально.,325.75,56,7,12.50,0,0.00,-
704073639,Психолог Ксения,Поиск,Нейрообъявление,Избавьтесь от тревоги за 8-12 сессий по методу КПТ,Доказанная эффективность. Конфиденциально. Только онлайн. Запишитесь на консультацию!,0.00,10,0,0.00,0,-,-
704073639,Психолог Ксения,Поиск,Нейрообъявление,Когнитивно-поведенческая терапия от тревоги,Научитесь управлять тревогой и жить полной жизнью. Записывайтесь на прием!,0.00,10,0,0.00,0,-,-
704073639,Психолог Ксения,Поиск,Нейрообъявление,Освободитесь от тревоги за 8-12 сессий,"Психолог, психотерапевт. Доказанный метод. Конфиденциально. Записывайтесь!",29.42,13,1,7.69,0,0.00,-
704073639,Психолог Ксения,Поиск,Нейрообъявление,Психотерапевт онлайн. Работаем с любыми проблемами.,Онлайн-консультации. Индивидуальный подход.,474.67,41,8,19.51,0,0.00,-
704073639,Психолог Ксения,Поиск,Нейрообъявление,Психолог онлайн. Конфиденциально. Метод КПТ.,Бесплатная встреча 30 минут. Конкретные техники. Домашнее задание. Поддержка.,120.35,35,4,11.43,0,0.00,-
704073639,Психолог Ксения,Поиск,Нейрообъявление,Избавьтесь от тревоги с помощью КПТ,Научитесь управлять тревогой с помощью научно обоснованных методов.,0.00,2,0,0.00,0,-,-
704073639,Психолог Ксения,Поиск,Нейрообъявление,Психолог при тревожности. Онлайн.,Разберитесь с тревожными состояниями. Конфиденциально. Без обязательств.,0.00,37,0,0.00,0,-,-
704073639,Психолог Ксения,Поиск,Нейрообъявление,Психолог онлайн. Помогу справиться с тревогой,Конфиденциально. Научные методы. Понятные цели. Домашние задания. Поддержка.,0.00,4,0,0.00,0,-,-
704073639,Психолог Ксения,Поиск,Нейрообъявление,Психолог для работы с тревожностью и беспокойством,Конфиденциально. Защищенные каналы связи.,0.00,9,0,0.00,0,-,-
704073639,Психолог Ксения,Поиск,Нейрообъявление,Психолог по работе с тревогой. Конфиденциально,Бесплатная вводная встреча. Конкретные техники. Поддержка на каждом этапе.,64.01,5,1,20.00,0,0.00,-
704073639,Психолог Ксения,Поиск,Нейрообъявление,КПТ онлайн. Конфиденциально и без обязательств.,Научно обоснованный метод. Бесплатная вводная встреча. Помощь при тревоге.,43.31,17,1,5.88,0,0.00,-
704073639,Психолог Ксения,Поиск,Нейрообъявление,Психолог онлайн по методу КПТ.,Конфиденциальные консультации. Без обязательств. Помощь в вашем случае.,16.56,7,2,28.57,0,0.00,-
704073639,Психолог Ксения,Поиск,Нейрообъявление,Психолог онлайн. Конфиденциально.,Помогу разобраться с тревогой и беспокойством. Конкретные техники. Запишитесь!,283.29,9,3,33.33,0,0.00,-
704073639,Психолог Ксения,Поиск,Нейрообъявление,Психолог онлайн. Помогу справиться с тревогой,Конфиденциально. Научный метод. Работа с мыслями и эмоциями. Домашнее задание.,32.04,4,1,25.00,0,0.00,-
704073639,Психолог Ксения,Поиск,Нейрообъявление,Помощь при тревоге. Психолог онлайн.,Конфиденциально. Конкретные техники. Поддержка на каждом этапе. Запишитесь!,0.00,1,0,0.00,0,-,-
704073639,Психолог Ксения,Поиск,Нейрообъявление,Психолог онлайн. Помогу справиться с тревогой,Конфиденциально. Защищенные каналы связи. Помощь в конкретном результате.,0.00,1,0,0.00,0,-,-
704073639,Психолог Ксения,Поиск,Нейрообъявление,КПТ. Онлайн-консультации с психологом.,Помогу разобраться с тревожными состояниями. Конфиденциально. Без обязательств.,0.00,3,0,0.00,0,-,-
704073639,Психолог Ксения,Поиск,Нейрообъявление,Когнитивно-поведенческая терапия для тревоги и страха,КПТ-терапия с доказанной эффективностью 75-85%. Конфиденциально и анонимно.,47.04,7,2,28.57,0,0.00,-
704073639,Психолог Ксения,Поиск,Нейрообъявление,"Помощь при тревожности. Конфиденциально, онлайн",Психолог Ксения Парваткина. Структурированный подход с практическими техниками.,0.00,3,0,0.00,0,-,-
704073639,Психолог Ксения,Поиск,Нейрообъявление,Психолог по тревожности. Помогу вернуть спокойствие,Конфиденциально. Научные методы. Конкретные техники. Поддержка на каждом этапе.,0.00,2,0,0.00,0,-,-
704073639,Психолог Ксения,Поиск,Нейрообъявление,Избавьтесь от тревоги за 10 сессий,"Клинический психолог, психотерапевт. 4 года опыта. Бесплатная диагностика.",0.00,1,0,0.00,0,-,-
704073639,Психолог Ксения,Поиск,Нейрообъявление,Избавление от тревоги за 10 сессий. Доказанный метод,Бесплатная диагностика. Гарантия результата. Конфиденциально.,0.00,1,0,0.00,0,-,-
