№ Кампании,Название кампании,Тип кампании,Статус кампании,Название пакетной стратегии,Тип стратегии,№ Группы,Название группы,Тип условия показа,Ключевая фраза,Условие подбора аудитории,Условие подбора аудитории,Название корректировки,Корректировки,Поисковый запрос,Категория запроса,Упоминания брендов в запросах,Тип соответствия,Подобранная фраза,№ Объявления,Статус объявления,Тип объявления,Заголовок,Текст,Ссылка,Место клика,Формат,Источник текста,Название товара или каталога,Производитель товара,Категория товара,Пол,Возраст,Уровень платежеспособности,Уровень трат в категории,Жанры и тематики,Тип инвентаря,Производитель устройства,Версия ОС устройства,Тип устройства,Тип операционной системы,Тип связи,Тип площадки,Вид размещения,Тематика телеграм-канала,"Расход, ₽",Клики,"CPC, ₽","Отказы, %",Глубина просмотра,Конверсии,"CR, %","CPA, ₽","Доход (от ценности конверсий), ₽","ДРР (по ценности), %",ROI (по ценности),"Прибыль (по ценности), ₽"
Итого,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1884.42,26,72.48,34.78,1.04,1,3.85,1884.42,0.00,,-1.00,-1884.42
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1884.42,26,72.48,34.78,1.04,1,3.85,1884.42,0.00,-,-1.00,-1884.42
704073639,Психолог Ксения,Единая перфоманс-кампания,Активные,,Максимум конверсий с ограничением по цене,5662806799,Тревога и паника,Автотаргетинг,,-,0,-,0,психолог онлайн консультация красноярск предоплата,Целевые запросы,Запросы без упоминания брендов,-,,1890155724754657248,Активные,Нейрообъявление,Психолог онлайн. Конфиденциально.,Помогу разобраться с тревогой и беспокойством. Конкретные техники. Запишитесь!,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Заголовок и ссылка перехода,Текстово-графический,Автоматический,,,,Женский,45-54 года,Остальные,Не определено,,Баннеры,-,-,Десктопы,Не определён,Wi-Fi,Поиск,Спецразмещение,Не определено,95.16,1,95.16,0.00,2.00,1,100.00,95.16,0.00,-,-1.00,-95.16
704073639,Психолог Ксения,Единая перфоманс-кампания,Активные,,Максимум конверсий с ограничением по цене,5662806799,Тревога и паника,Фраза,психолог консультация цена,-,0,-,0,психолог спб недорого,Широкие запросы,Запросы без упоминания брендов,Семантическое,,1890155724754657248,Активные,Нейрообъявление,Психолог онлайн. Конфиденциально.,Помогу разобраться с тревогой и беспокойством. Конкретные техники. Запишитесь!,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,Текстово-графический,Автоматический,,,,Женский,35-44 года,Остальные,Не определено,,Баннеры,-,-,Десктопы,Не определён,Wi-Fi,Поиск,Спецразмещение,Не определено,0.00,0,-,-,-,0,-,-,0.00,-,-,0.00
704073639,Психолог Ксения,Единая перфоманс-кампания,Активные,,Максимум конверсий с ограничением по цене,5662806799,Тревога и паника,Автотаргетинг,,-,0,-,0,кпт психолог,Целевые запросы,Запросы без упоминания брендов,-,,1890155724754657248,Активные,Нейрообъявление,Психолог по методу КПТ. Конфиденциально.,Помогу разобраться с тревожными состояниями. Конкретные техники. Запишитесь!,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,Текстово-графический,Автоматический,,,,Женский,25-34 года,Остальные,Не определено,,Баннеры,-,-,Смартфоны,Android,Wi-Fi,Поиск,Спецразмещение,Не определено,0.00,0,-,-,-,0,-,-,0.00,-,-,0.00
704073639,Психолог Ксения,Единая перфоманс-кампания,Активные,,Максимум конверсий с ограничением по цене,5662806799,Тревога и паника,Фраза,психолог консультация цена,-,0,-,0,сколько стоит психолог в воронеже,Широкие запросы,Запросы без упоминания брендов,Семантическое,,1890155724754657248,Активные,Нейрообъявление,Психолог по методу КПТ. Конфиденциально.,Помогу разобраться с тревожными состояниями. Конкретные техники. Запишитесь!,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,Текстово-графический,Автоматический,,,,Женский,45-54 года,Остальные,Не определено,,Баннеры,-,-,Смартфоны,Android,Wi-Fi,Поиск,Спецразмещение,Не определено,0.00,0,-,-,-,0,-,-,0.00,-,-,0.00
704073639,Психолог Ксения,Единая перфоманс-кампания,Активные,,Максимум конверсий с ограничением по цене,5662806799,Тревога и паника,Фраза,психолог консультация цена,-,0,-,0,лучший психолог в перми терапия цены,Широкие запросы,Запросы без упоминания брендов,Семантическое,,1890155724754657248,Активные,Нейрообъявление,Психолог по методу КПТ. Конфиденциально.,Помогу разобраться с тревожными состояниями. Конкретные техники. Запишитесь!,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,Текстово-графический,Автоматический,,,,Женский,Старше 55,Остальные,Не определено,,Баннеры,-,-,Десктопы,Не определён,Wi-Fi,Поиск,Спецразмещение,Не определено,0.00,0,-,-,-,0,-,-,0.00,-,-,0.00
704073639,Психолог Ксения,Единая перфоманс-кампания,Активные,,Максимум конверсий с ограничением по цене,5662806799,Тревога и паника,Фраза,психолог консультация цена,-,0,-,0,лучший психолог в перми терапия цены,Широкие запросы,Запросы без упоминания брендов,Семантическое,,1890155724754657248,Активные,Нейрообъявление,Психолог по методу КПТ. Конфиденциально.,Помогу разобраться с тревожными состояниями. Конкретные техники. Запишитесь!,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Заголовок и ссылка перехода,Текстово-графический,Автоматический,,,,Женский,Старше 55,Остальные,Не определено,,Баннеры,-,-,Десктопы,Не определён,Wi-Fi,Поиск,Спецразмещение,Не определено,53.93,1,53.93,-,-,0,0.00,-,0.00,-,-1.00,-53.93
704073639,Психолог Ксения,Единая перфоманс-кампания,Активные,,Максимум конверсий с ограничением по цене,5662806799,Тревога и паника,Фраза,консультация психолога онлайн,-,0,-,0,семейный психолог онлайн,Целевые запросы,Запросы без упоминания брендов,Семантическое,,1890155724754657248,Активные,Нейрообъявление,Психолог онлайн. Конфиденциально. Метод КПТ.,Бесплатная встреча 30 минут. Конкретные техники. Домашнее задание. Поддержка.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,Текстово-графический,Автоматический,,,,Не определен,35-44 года,Остальные,Не определено,,Баннеры,-,-,Десктопы,Не определён,Wi-Fi,Поиск,Прочее,Не определено,0.00,0,-,-,-,0,-,-,0.00,-,-,0.00
704073639,Психолог Ксения,Единая перфоманс-кампания,Активные,,Максимум конверсий с ограничением по цене,5662806799,Тревога и паника,Автотаргетинг,,-,0,-,0,прием психолога онлайн,Целевые запросы,Запросы без упоминания брендов,-,,1890155724754657248,Активные,Нейрообъявление,Психолог онлайн. Конфиденциально. Метод КПТ.,Бесплатная встреча 30 минут. Конкретные техники. Домашнее задание. Поддержка.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,Текстово-графический,Автоматический,,,,Женский,25-34 года,Остальные,Не определено,,Баннеры,-,-,Смартфоны,Android,Wi-Fi,Поиск,Прочее,Не определено,0.00,0,-,-,-,0,-,-,0.00,-,-,0.00
704073639,Психолог Ксения,Единая перфоманс-кампания,Активные,,Максимум конверсий с ограничением по цене,5662806799,Тревога и паника,Фраза,записаться к психологу онлайн,-,0,-,0,услуги психолога в онлайн записи,Широкие запросы,Запросы без упоминания брендов,Семантическое,,1890155724754657248,Активные,Нейрообъявление,Психолог онлайн. Помогу справиться с тревогой,Конфиденциально. Научные методы. Понятные цели. Домашние задания. Поддержка.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,Текстово-графический,Автоматический,,,,Женский,35-44 года,6–10%,Не определено,,Баннеры,-,-,Смартфоны,iOS,Wi-Fi,Поиск,Прочее,Не определено,0.00,0,-,-,-,0,-,-,0.00,-,-,0.00
