№ Кампании,Название кампании,Тип кампании,Статус кампании,Название пакетной стратегии,Тип стратегии,№ Группы,Название группы,Тип условия показа,Ключевая фраза,Условие подбора аудитории,Условие подбора аудитории,Название корректировки,Корректировки,Поисковый запрос,Категория запроса,Упоминания брендов в запросах,Тип соответствия,Подобранная фраза,№ Объявления,Статус объявления,Тип объявления,Заголовок,Текст,Ссылка,Формат,Источник текста,Название товара или каталога,Производитель товара,Категория товара,Пол,Возраст,Уровень платежеспособности,Уровень трат в категории,Жанры и тематики,Тип инвентаря,Производитель устройства,Версия ОС устройства,Тип устройства,Тип операционной системы,Тип связи,Тип площадки,Вид размещения,Тематика телеграм-канала,"Расход, ₽",Клики,"CPC, ₽","Отказы, %",Глубина просмотра,Конверсии,"CR, %","CPA, ₽","Доход (от ценности конверсий), ₽","ДРР (по ценности), %",ROI (по ценности),"Прибыль (по ценности), ₽","CTR, %",Показы,"Доход, ₽","ДРР, %",ROI,"Прибыль, ₽"
Итого,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1884.42,26,72.48,34.78,1.04,1,3.85,1884.42,0.00,,-1.00,-1884.42,7.58,343,0.00,,-1.00,-1884.42
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4242.01,56,75.75,38.18,1.09,3,5.36,1414.00,0.00,-,-1.00,-4242.01,7.71,726,0.00,-,-1.00,-4242.01
704073639,Психолог Ксения,Единая перфоманс-кампания,Активные,,Максимум конверсий с ограничением по цене,5662806799,Тревога и паника,Фраза,помощь психолога при тревоге,-,0,-,0,лучший психотерапевт по тревожным расстройствам в ростове,Сопутствующие запросы,Запросы без упоминания брендов,Семантическое,,1890155724754657248,Активные,Нейрообъявление,Тревога и беспокойство? Психолог онлайн.,Конфиденциальные консультации. Структурированный подход. Практические темы.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,,,,Мужской,35-44 года,2–5%,Не определено,,Баннеры,-,-,Смартфоны,iOS,Wi-Fi,Поиск,Спецразмещение,Не определено,144.09,1,144.09,0.00,2.50,1,100.00,144.09,0.00,-,-1.00,-144.09,100.00,1,0.00,-,-1.00,-144.09
704073639,Психолог Ксения,Единая перфоманс-кампания,Активные,,Максимум конверсий с ограничением по цене,5662806799,Тревога и паника,Автотаргетинг,,-,0,-,0,психолог онлайн,Целевые запросы,Запросы без упоминания брендов,-,,1890155724754657248,Активные,Нейрообъявление,Психолог онлайн. Конфиденциально. Метод КПТ.,Бесплатная встреча 30 минут. Конкретные техники. Домашнее задание. Поддержка.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,,,,Мужской,35-44 года,6–10%,Не определено,,Баннеры,-,-,Десктопы,Не определён,Wi-Fi,Поиск,Спецразмещение,Не определено,54.88,1,54.88,0.00,1.00,1,100.00,54.88,0.00,-,-1.00,-54.88,100.00,1,0.00,-,-1.00,-54.88
704073639,Психолог Ксения,Единая перфоманс-кампания,Активные,,Максимум конверсий с ограничением по цене,5662806799,Тревога и паника,Автотаргетинг,,-,0,-,0,психолог онлайн консультация красноярск предоплата,Целевые запросы,Запросы без упоминания брендов,-,,1890155724754657248,Активные,Нейрообъявление,Психолог онлайн. Конфиденциально.,Помогу разобраться с тревогой и беспокойством. Конкретные техники. Запишитесь!,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,,,,Женский,45-54 года,Остальные,Не определено,,Баннеры,-,-,Десктопы,Не определён,Wi-Fi,Поиск,Спецразмещение,Не определено,95.16,1,95.16,0.00,2.00,1,100.00,95.16,0.00,-,-1.00,-95.16,100.00,1,0.00,-,-1.00,-95.16
704073639,Психолог Ксения,Единая перфоманс-кампания,Активные,,Максимум конверсий с ограничением по цене,5662806799,Тревога и паника,Фраза,услуги психолога онлайн,-,0,-,0,психолог о использовании подруги онлайн,Целевые запросы,Запросы без упоминания брендов,Семантическое,,1890155724754657248,Активные,Нейрообъявление,Психолог по методу КПТ. Конфиденциально.,Помогу разобраться с тревожными состояниями. Конкретные техники. Запишитесь!,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,,,,Женский,Старше 55,Остальные,Не определено,,Баннеры,-,-,Смартфоны,Android,Wi-Fi,Поиск,Прочее,Не определено,0.00,0,-,-,-,0,-,-,0.00,-,-,0.00,0.00,1,0.00,-,-,0.00
704073639,Психолог Ксения,Единая перфоманс-кампания,Активные,,Максимум конверсий с ограничением по цене,5662806799,Тревога и паника,Фраза,услуги психолога онлайн,-,0,-,0,сайт частного психолога,Широкие запросы,Запросы без упоминания брендов,Семантическое,,1890155724754657248,Активные,Нейрообъявление,Психолог онлайн. КПТ. Бесплатная встреча (30 минут),Конфиденциальная работа. Конкретные техники. Поддержка на каждом этапе.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,,,,Мужской,35-44 года,6–10%,Не определено,,Баннеры,-,-,Десктопы,Не определён,Wi-Fi,Поиск,Прочее,Не определено,0.00,0,-,-,-,0,-,-,0.00,-,-,0.00,0.00,1,0.00,-,-,0.00
704073639,Психолог Ксения,Единая перфоманс-кампания,Активные,,Максимум конверсий с ограничением по цене,5662806799,Тревога и паника,Фраза,консультация психолога онлайн,-,0,-,0,психолог онлайн,Широкие запросы,Запросы без упоминания брендов,Семантическое,,1890155724754657248,Активные,Нейрообъявление,Психолог по методу КПТ. Конфиденциально.,Помогу разобраться с тревожными состояниями. Конкретные техники. Запишитесь!,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,,,,Женский,Старше 55,6–10%,Не определено,,Баннеры,-,-,Смартфоны,Android,Wi-Fi,Поиск,Прочее,Не определено,0.00,0,-,-,-,0,-,-,0.00,-,-,0.00,0.00,1,0.00,-,-,0.00
704073639,Психолог Ксения,Единая перфоманс-кампания,Активные,,Максимум конверсий с ограничением по цене,5662806799,Тревога и паника,Фраза,услуги психолога онлайн,-,0,-,0,ясно психологи онлайн,Широкие запросы,Запросы с упоминанием брендов конкурентов,Семантическое,,1890155724754657248,Активные,Нейрообъявление,Психолог при тревожности. Онлайн.,Разберитесь с тревожными состояниями. Конфиденциально. Без обязательств.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,,,,Женский,35-44 года,Остальные,Не определено,,Баннеры,-,-,Смартфоны,Android,Wi-Fi,Поиск,Спецразмещение,Не определено,0.00,0,-,-,-,0,-,-,0.00,-,-,0.00,0.00,1,0.00,-,-,0.00
704073639,Психолог Ксения,Единая перфоманс-кампания,Активные,,Максимум конверсий с ограничением по цене,5662806799,Тревога и паника,Фраза,консультация психолога онлайн,-,0,-,0,сервис онлайн психологов,Широкие запросы,Запросы без упоминания брендов,Семантическое,,1890155724754657248,Активные,Нейрообъявление,КПТ. Онлайн-консультации с психологом.,Помогу разобраться с тревожными состояниями. Конфиденциально. Без обязательств.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,,,,Женский,35-44 года,6–10%,Не определено,,Баннеры,-,-,Смартфоны,Android,Wi-Fi,Поиск,Прочее,Не определено,0.00,0,-,-,-,0,-,-,0.00,-,-,0.00,0.00,1,0.00,-,-,0.00
