Поисковый запрос,№ Кампании,Название кампании,№ Группы,Название группы,Тип условия показа,Ключевая фраза,Тип соответствия,Категория запроса,Упоминания брендов в запросах,№ Объявления,Статус объявления,Тип объявления,Заголовок,Текст,Ссылка,Формат,Источник текста,Пол,Возраст,Уровень платежеспособности,Уровень трат в категории,Подобранная фраза,Условие подбора аудитории,Условие подбора аудитории,Название корректировки,Корректировки,Название пакетной стратегии,Тип стратегии,Тип кампании,Статус кампании,"Расход, ₽",Показы,Клики,Конверсии,"CR, %","CPA, ₽","CTR, %","CPC, ₽",Взвешенные показы,"Взвешенный CTR, %",Ср. объём трафика,Ср. позиция показа,Ср. позиция клика,"Отказы, %",Глубина просмотра
Итого,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5913.62,1931,120,24,20.00,246.40,6.21,49.28,1006.01,11.93,52.10,3.90,2.19,31.25,1.08
когнитивно поведенческая терапия воронеж,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,1890155724754657248,Активные,Нейрообъявление,Психолог по методу КПТ. Конфиденциально.,Помогу разобраться с тревожными состояниями. Конкретные техники. Запишитесь!,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Женский,25-34 года,Остальные,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,30.23,4,1,0,0.00,-,25.00,30.23,4.35,22.96,108.87,2.50,1.00,0.00,1.00
в17 психология официальный,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,1890155724754657248,Активные,Нейрообъявление,Психолог по методу КПТ. Конфиденциально.,Помогу разобраться с тревожными состояниями. Конкретные техники. Запишитесь!,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Женский,45-54 года,Остальные,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,4,0,0,-,-,0.00,-,0.34,0.00,8.50,5.00,-,-,-
г волгоград цены психологическая консультация клинического психолога,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,консультация психолога цена,Семантическое,Альтернативные запросы,Запросы без упоминания брендов,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Женский,35-44 года,Остальные,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,3,0,0,-,-,0.00,-,3.43,0.00,114.36,3.67,-,-,-
инсайт помощь психолога,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,услуги психолога онлайн,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,1890155724754657248,Активные,Нейрообъявление,Психолог онлайн. КПТ. Бесплатная встреча (30 минут),Конфиденциальная работа. Конкретные техники. Поддержка на каждом этапе.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Женский,Старше 55,Остальные,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,3,0,0,-,-,0.00,-,1.29,0.00,42.86,5.33,-,-,-
психолог онлайн,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,1890155724754657248,Активные,Нейрообъявление,Психолог онлайн. Конфиденциально. Метод КПТ.,Бесплатная встреча 30 минут. Конкретные техники. Домашнее задание. Поддержка.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Женский,35-44 года,Остальные,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,3,0,0,-,-,0.00,-,1.16,0.00,38.75,4.33,-,-,-
психолог онлайн,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,1890155724754657248,Активные,Нейрообъявление,Психолог онлайн. Конфиденциально. Метод КПТ.,Бесплатная встреча 30 минут. Конкретные техники. Домашнее задание. Поддержка.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Мужской,35-44 года,2–5%,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,3,0,0,-,-,0.00,-,2.14,0.00,71.35,3.00,-,-,-
бачинская оксана психолог стоимость приема,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,стоимость консультации психолога,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,1890155724754657248,Активные,Нейрообъявление,Психолог онлайн. Конфиденциально. Метод КПТ.,Бесплатная встреча 30 минут. Конкретные техники. Домашнее задание. Поддержка.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Мужской,45-54 года,Остальные,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,3,0,0,-,-,0.00,-,0.26,0.00,8.50,-,-,-,-
сайт психолога,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог онлайн -находить -тревожность -тревога -стоимость -записываться -консультация -цена -запись,Семантическое,Широкие запросы,Запросы без упоминания брендов,1890155724754657248,Активные,Нейрообъявление,Психолог онлайн по методу КПТ.,Конфиденциальные консультации. Без обязательств. Помощь в вашем случае.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Женский,35-44 года,Остальные,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,31.45,3,1,1,100.00,31.45,33.33,31.45,2.28,43.82,76.07,2.00,2.00,0.00,1.00
все психологи ру,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,1890155724754657248,Активные,Нейрообъявление,Психолог онлайн по методу КПТ.,Конфиденциальные консультации. Без обязательств. Помощь в вашем случае.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Женский,35-44 года,Остальные,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,3,0,0,-,-,0.00,-,0.26,0.00,8.50,5.00,-,-,-
б 17 психологический сайт,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,1890155724754657248,Активные,Нейрообъявление,КПТ-психология онлайн. Бесплатная вводная встреча,Конфиденциально. Конкретные техники и упражнения. Поддержка на каждом этапе.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Женский,45-54 года,Остальные,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,3,0,0,-,-,0.00,-,0.97,0.00,32.47,3.00,-,-,-
прием психолога ляха цена места,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог консультация цена,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,1890155724754657248,Активные,Нейрообъявление,Психолог по методу КПТ. Конфиденциально.,Помогу разобраться с тревожными состояниями. Конкретные техники. Запишитесь!,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Женский,Старше 55,Остальные,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,3,0,0,-,-,0.00,-,0.26,0.00,8.50,5.00,-,-,-
авито екатеринбург услуги психолога,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Широкие запросы,Запросы с упоминанием брендов конкурентов,1890155724754657248,Активные,Нейрообъявление,Психолог по методу КПТ. Конфиденциально.,Помогу разобраться с тревожными состояниями. Конкретные техники. Запишитесь!,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Женский,45-54 года,Остальные,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,3,0,0,-,-,0.00,-,4.15,0.00,138.39,2.33,-,-,-
мария минакова психолог сайт,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,1890155724754657248,Активные,Нейрообъявление,Психолог по методу КПТ. Конфиденциально.,Помогу разобраться с тревожными состояниями. Конкретные техники. Запишитесь!,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Женский,35-44 года,6–10%,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,2,0,0,-,-,0.00,-,1.09,0.00,54.25,5.00,-,-,-
анонимный чат с психологом мы рядом,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,анонимный психолог онлайн,Семантическое,Альтернативные запросы,Запросы без упоминания брендов,1890155724754657248,Активные,Нейрообъявление,Психолог онлайн. Конфиденциально.,Помогу разобраться с тревогой и беспокойством. Конкретные техники. Запишитесь!,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Мужской,35-44 года,Остальные,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,2,0,0,-,-,0.00,-,2.46,0.00,123.02,3.00,-,-,-
ясно психологи онлайн,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,консультация психолога онлайн,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,1890155724754657248,Активные,Нейрообъявление,КПТ. Онлайн-консультации с психологом.,Помогу разобраться с тревожными состояниями. Конфиденциально. Без обязательств.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Женский,25-34 года,Топ 1%,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,2,0,0,-,-,0.00,-,0.17,0.00,8.50,5.00,-,-,-
психотерапевт онлайн уфа,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,1890155724754657248,Активные,Нейрообъявление,Психолог онлайн. Конфиденциально. Метод КПТ.,Бесплатная встреча 30 минут. Конкретные техники. Домашнее задание. Поддержка.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Женский,35-44 года,Остальные,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,2,0,0,-,-,0.00,-,0.87,0.00,43.69,4.00,-,-,-
в17 психология официальный,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,1890155724754657248,Активные,Нейрообъявление,Психолог по методу КПТ. Конфиденциально.,Помогу разобраться с тревожными состояниями. Конкретные техники. Запишитесь!,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Женский,25-34 года,Остальные,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,2,0,0,-,-,0.00,-,0.17,0.00,8.50,5.00,-,-,-
психолог сайт,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,1890155724754657248,Активные,Нейрообъявление,Психолог онлайн. Конфиденциально.,Помогу разобраться с тревогой и беспокойством. Конкретные техники. Запишитесь!,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Женский,25-34 года,2–5%,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,2,0,0,-,-,0.00,-,0.30,0.00,14.99,-,-,-,-
профи ру психолог,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Широкие запросы,Запросы с упоминанием брендов конкурентов,1890155724754657248,Активные,Нейрообъявление,Тревога и беспокойство? Психолог онлайн.,Конфиденциальные консультации. Структурированный подход. Практические темы.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Женский,35-44 года,Остальные,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,2,0,0,-,-,0.00,-,0.17,0.00,8.50,5.00,-,-,-
дорогой психолог омск,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Мужской,35-44 года,Остальные,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,2,0,0,-,-,0.00,-,1.76,0.00,87.85,3.00,-,-,-
когнитивно поведенческая терапия в спб,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,1890155724754657248,Активные,Нейрообъявление,Психолог по методу КПТ. Конфиденциально.,Помогу разобраться с тревожными состояниями. Конкретные техники. Запишитесь!,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Женский,35-44 года,Остальные,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,2,0,0,-,-,0.00,-,2.83,0.00,141.51,1.50,-,-,-
