№ Кампании,Название кампании,Тип условия показа,Поисковый запрос,Категория запроса,Упоминания брендов в запросах,Тип соответствия,Подобранная фраза,Тип площадки,Вид размещения,Название площадки,Площадка выключена в РК,Можно запретить площадку,"Расход, ₽",Показы,Клики,"Взвешенный CTR, %","CTR, %",Ср. объём трафика,Ср. позиция показа,Конверсии,"CR, %","CPA, ₽"
Итого,,,,,,,,,,,-,-,5913.62,1933,120,11.92,6.21,52.09,3.90,24,20.00,246.40
704073639,Психолог Ксения,Автотаргетинг,когнитивно поведенческая терапия спб специалисты,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Спецразмещение,yandex,Нет,Нет,0.00,1,0,0.00,0.00,147.86,3.00,0,-,-
704073639,Психолог Ксения,Фраза,психотерапевт online,Широкие запросы,Запросы без упоминания брендов,Семантическое,,Поиск,Спецразмещение,yandex,Нет,Нет,0.00,1,0,0.00,0.00,81.84,3.00,0,-,-
704073639,Психолог Ксения,Автотаргетинг,психологи изучающие тревожность,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Прочее,yandex,Нет,Нет,0.00,1,0,0.00,0.00,100.00,5.00,0,-,-
704073639,Психолог Ксения,Фраза,кто нибудь обращался онлайн к психологу,Сопутствующие запросы,Запросы без упоминания брендов,Семантическое,,Поиск,Спецразмещение,yandex,Нет,Нет,0.00,1,0,0.00,0.00,99.71,3.00,0,-,-
704073639,Психолог Ксения,Фраза,сайт психологии россии,Сопутствующие запросы,Запросы без упоминания брендов,Семантическое,,Поиск,Прочее,yandex,Нет,Нет,0.00,1,0,0.00,0.00,8.50,5.00,0,-,-
704073639,Психолог Ксения,Автотаргетинг,виртуальный психолог,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Спецразмещение,yandex,Нет,Нет,0.00,1,0,0.00,0.00,84.54,4.00,0,-,-
704073639,Психолог Ксения,Фраза,юлия рублева психолог сайт,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,Семантическое,,Поиск,Прочее,yandex,Нет,Нет,0.00,1,0,0.00,0.00,8.50,5.00,0,-,-
704073639,Психолог Ксения,Фраза,сайт психологов,Широкие запросы,Запросы без упоминания брендов,Семантическое,,Поиск,Спецразмещение,yandex,Нет,Нет,28.92,3,1,37.05,33.33,89.97,2.00,2,200.00,14.46
704073639,Психолог Ксения,Фраза,психолог краснодар цена,Широкие запросы,Запросы без упоминания брендов,Семантическое,,Поиск,Прочее,yandex,Нет,Нет,0.00,2,0,0.00,0.00,8.50,5.00,0,-,-
704073639,Психолог Ксения,Фраза,психология для жизни сайт,Сопутствующие запросы,Запросы без упоминания брендов,Семантическое,психология сайт,Поиск,Прочее,yandex,Нет,Нет,0.00,1,0,0.00,0.00,8.50,5.00,0,-,-
704073639,Психолог Ксения,Фраза,психолог казань консультация цены,Широкие запросы,Запросы без упоминания брендов,Семантическое,,Поиск,Спецразмещение,yandex,Нет,Нет,39.35,1,1,72.63,100.00,137.69,1.00,0,0.00,-
704073639,Психолог Ксения,Фраза,иоганн сваммердам сайт психолог,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,Семантическое,,Поиск,Прочее,yandex,Нет,Нет,0.00,1,0,0.00,0.00,100.00,5.00,0,-,-
704073639,Психолог Ксения,Фраза,российское психологическое общество официальный сайт,Сопутствующие запросы,Запросы без упоминания брендов,Семантическое,психологический сайт,Поиск,Прочее,yandex,Нет,Нет,0.00,1,0,0.00,0.00,8.50,5.00,0,-,-
704073639,Психолог Ксения,Автотаргетинг,психолог онлайн чат,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Спецразмещение,yandex,Нет,Нет,49.98,1,1,164.18,100.00,60.91,3.00,0,0.00,-
704073639,Психолог Ксения,Фраза,ясно психологи онлайн личный кабинет,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,Семантическое,,Поиск,Прочее,yandex,Нет,Нет,0.00,1,0,0.00,0.00,8.50,5.00,0,-,-
704073639,Психолог Ксения,Фраза,кпт психология в электронном виде,Сопутствующие запросы,Запросы без упоминания брендов,Семантическое,,Поиск,Прочее,yandex,Нет,Нет,0.00,3,0,0.00,0.00,19.54,5.33,0,-,-
704073639,Психолог Ксения,Фраза,ясно психологи онлайн,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,Семантическое,,Поиск,Прочее,yandex,Нет,Нет,0.00,7,0,0.00,0.00,8.08,5.29,0,-,-
704073639,Психолог Ксения,Автотаргетинг,психотерапевты тревожные расстройства и прл москва,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Спецразмещение,yandex,Нет,Нет,0.00,1,0,0.00,0.00,70.73,3.00,0,-,-
704073639,Психолог Ксения,Фраза,групповая терапия при тревожно санкт петербург,Альтернативные запросы,Запросы без упоминания брендов,Семантическое,,Поиск,Спецразмещение,yandex,Нет,Нет,0.00,2,0,0.00,0.00,93.10,2.50,0,-,-
704073639,Психолог Ксения,Фраза,онлайн консультация психолог ковалев сергей,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,Семантическое,,Поиск,Прочее,yandex,Нет,Нет,0.00,1,0,0.00,0.00,142.92,5.00,0,-,-
704073639,Психолог Ксения,Фраза,психолог онлайн билайн,Широкие запросы,Запросы с упоминанием брендов конкурентов,Семантическое,,Поиск,Спецразмещение,yandex,Нет,Нет,0.00,1,0,0.00,0.00,36.87,3.00,0,-,-
704073639,Психолог Ксения,Автотаргетинг,психологические сайты для онлайн консультаций,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Спецразмещение,yandex,Нет,Нет,0.00,1,0,0.00,0.00,97.29,-,0,-,-
704073639,Психолог Ксения,Фраза,к кому обращаться с паническими атаками и тревожностью какому врачу,Сопутствующие запросы,Запросы без упоминания брендов,Семантическое,,Поиск,Спецразмещение,yandex,Нет,Нет,81.36,1,1,112.97,100.00,88.52,2.00,0,0.00,-
704073639,Психолог Ксения,Фраза,психолог онлайн консультация,Не определено,-,Пословное,,Поиск,Реклама в саджесте,yandex,Нет,Нет,0.00,1,0,0.00,0.00,100.00,1.00,0,-,-
