Поисковый запрос,№ Кампании,Название кампании,№ Группы,Название группы,Тип условия показа,Ключевая фраза,Тип соответствия,Категория запроса,Упоминания брендов в запросах,Название пакетной стратегии,Тип стратегии,Условие подбора аудитории,Условие подбора аудитории,Название корректировки,Корректировки,Подобранная фраза,"Расход, ₽",Показы,Клики,Конверсии,"CR, %","CPA, ₽","CTR, %","CPC, ₽",Взвешенные показы,"Взвешенный CTR, %",Ср. объём трафика,Ср. позиция показа,Ср. позиция клика
Итого,,,,,,,,,,,,,,,,,4838.83,2591,136,34,25.00,142.32,5.25,35.58,1360.78,9.99,52.52,3.88,2.21
психолог,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,34.51,96,2,0,0.00,-,2.08,17.26,38.39,5.21,39.99,3.94,4.50
кпт психолог,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,25.35,25,1,1,100.00,25.35,4.00,25.35,15.70,6.37,62.82,3.96,5.00
психолог онлайн,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,45.70,20,3,1,33.33,45.70,15.00,15.23,10.37,28.94,51.84,3.38,2.00
психология журнал официальный сайт,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Сопутствующие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,психология сайт,0.00,19,0,0,-,-,0.00,-,6.16,0.00,32.44,4.37,-
психологическая газета официальный сайт,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Сопутствующие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,психологический сайт,33.84,17,1,0,0.00,-,5.88,33.84,3.57,28.03,20.99,4.76,1.00
психологическая помощь,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,15,0,0,-,-,0.00,-,9.84,0.00,65.59,2.54,-
психолог онлайн,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог онлайн -находить -тревожность -тревога -стоимость -записываться -консультация -цена -запись,Семантическое,Широкие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,15,0,0,-,-,0.00,-,3.34,0.00,22.24,4.55,-
б 17 психологический сайт,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,14,0,0,-,-,0.00,-,8.33,0.00,59.47,4.14,-
в 17 сайт психологов,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог онлайн -находить -тревожность -тревога -стоимость -записываться -консультация -цена -запись,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,13,0,0,-,-,0.00,-,7.94,0.00,61.08,3.69,-
психолог доска объявлений,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,13,0,0,-,-,0.00,-,7.34,0.00,56.48,4.00,-
частный психолог,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,13,0,0,-,-,0.00,-,0.92,0.00,7.10,5.75,-
семейный психолог онлайн консультация,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,консультация психолога онлайн,Семантическое,Широкие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,12,0,0,-,-,0.00,-,1.43,0.00,11.94,4.40,-
наталья фомичева психолог стоимость приема,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,стоимость консультации психолога,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,27.54,11,1,0,0.00,-,9.09,27.54,7.49,13.35,68.10,3.55,1.00
анонимная психологическая помощь,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,11,0,0,-,-,0.00,-,5.51,0.00,50.09,5.00,-
психолог кпт,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,10,0,0,-,-,0.00,-,4.97,0.00,49.70,4.30,-
психолог онлайн,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог онлайн -находить -тревожность -тревога -стоимость -записываться -консультация -цена -запись,Семантическое,Не определено,-,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,10,0,0,-,-,0.00,-,7.64,0.00,76.38,-,-
психолог онлайн консультация,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,консультация психолога онлайн,Семантическое,Широкие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,93.95,10,2,1,50.00,93.95,20.00,46.97,0.77,261.16,7.66,5.20,5.50
