Поисковый запрос,№ Кампании,Название кампании,№ Группы,Название группы,Тип условия показа,Ключевая фраза,Тип соответствия,Категория запроса,Упоминания брендов в запросах,Условие подбора аудитории,Условие подбора аудитории,Название корректировки,Корректировки,Подобранная фраза,№ Объявления,Статус объявления,Тип объявления,Заголовок,Текст,Ссылка,Путь до изображения,Название файла изображения,Идентификатор видео,Путь до превью видео,Формат,Источник текста,Пол,Возраст,Уровень платежеспособности,Уровень трат в категории,Производитель устройства,Версия ОС устройства,Тип устройства,Тип операционной системы,Тип связи,Тип площадки,Вид размещения,Тип стратегии,Название пакетной стратегии,"Расход, ₽",Показы,Клики,Конверсии,"CR, %","CPA, ₽","CTR, %","CPC, ₽",Взвешенные показы,"Взвешенный CTR, %",Ср. объём трафика,Ср. позиция показа,Ср. позиция клика,"Отказы, %",Глубина просмотра
Итого,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9149.11,2830,178,55,30.90,166.35,6.29,51.40,1789.86,9.94,63.25,3.52,2.18,26.90,1.08
психолог,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,-,0,-,0,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Женский,35-44 года,Остальные,Не определено,-,-,Смартфоны,Android,Wi-Fi,Поиск,Спецразмещение,Максимум конверсий с ограничением по бюджету,,0.00,10,0,0,-,-,0.00,-,7.01,0.00,70.14,2.00,-,-,-
психолог,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,-,0,-,0,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Женский,35-44 года,Остальные,Не определено,-,-,Десктопы,Не определён,Wi-Fi,Поиск,Спецразмещение,Максимум конверсий с ограничением по бюджету,,0.00,8,0,0,-,-,0.00,-,6.78,0.00,84.80,1.40,-,-,-
психолог,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,-,0,-,0,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Женский,35-44 года,Остальные,Не определено,-,-,Смартфоны,Android,Wi-Fi,Поиск,Прочее,Максимум конверсий с ограничением по бюджету,,0.00,7,0,0,-,-,0.00,-,1.61,0.00,22.99,5.14,-,-,-
психолог доска объявлений,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,-,0,-,0,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Мужской,25-34 года,Остальные,Не определено,-,-,Смартфоны,Android,Wi-Fi,Поиск,Спецразмещение,Максимум конверсий с ограничением по бюджету,,0.00,7,0,0,-,-,0.00,-,5.53,0.00,79.05,2.00,-,-,-
центр психологии,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,-,0,-,0,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Мужской,Старше 55,Остальные,Не определено,-,-,Смартфоны,Android,Wi-Fi,Поиск,Прочее,Максимум конверсий с ограничением по бюджету,,0.00,6,0,0,-,-,0.00,-,0.51,0.00,8.50,5.00,-,-,-
психолог доска объявлений,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,-,0,-,0,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Мужской,25-34 года,Остальные,Не определено,-,-,Смартфоны,Android,Wi-Fi,Поиск,Прочее,Максимум конверсий с ограничением по бюджету,,0.00,6,0,0,-,-,0.00,-,1.81,0.00,30.15,5.00,-,-,-
схема терапия найти психолога,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,-,0,-,0,,1890155724754657248,Остановленные,Нейрообъявление,Психолог онлайн. Конфиденциально. Метод КПТ.,Бесплатная встреча 30 минут. Конкретные техники. Домашнее задание. Поддержка.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Мужской,35-44 года,2–5%,Не определено,-,-,Смартфоны,Android,Wi-Fi,Поиск,Прочее,Максимум конверсий с ограничением по бюджету,,75.51,6,1,0,0.00,-,16.67,75.51,2.77,36.04,46.25,5.00,5.00,100.00,1.00
психолог,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,-,0,-,0,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Мужской,25-34 года,2–5%,Не определено,-,-,Десктопы,Не определён,Wi-Fi,Поиск,Спецразмещение,Максимум конверсий с ограничением по бюджету,,0.00,5,0,0,-,-,0.00,-,3.59,0.00,71.82,2.80,-,-,-
психолог,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,-,0,-,0,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Мужской,35-44 года,Остальные,Не определено,-,-,Смартфоны,Android,Wi-Fi,Поиск,Прочее,Максимум конверсий с ограничением по бюджету,,0.00,5,0,0,-,-,0.00,-,3.17,0.00,63.34,5.00,-,-,-
