Поисковый запрос,№ Кампании,Название кампании,№ Группы,Название группы,Тип условия показа,Ключевая фраза,Тип соответствия,Категория запроса,Упоминания брендов в запросах,Условие подбора аудитории,Условие подбора аудитории,Название корректировки,Корректировки,Подобранная фраза,№ Объявления,Статус объявления,Тип объявления,Заголовок,Текст,Ссылка,Путь до изображения,Название файла изображения,Идентификатор видео,Путь до превью видео,Формат,Источник текста,Пол,Возраст,Уровень платежеспособности,Уровень трат в категории,Производитель устройства,Версия ОС устройства,Тип устройства,Тип операционной системы,Тип связи,Тип площадки,Вид размещения,Тип стратегии,Название пакетной стратегии,"Расход, ₽",Показы,Клики,Конверсии,"CR, %","CPA, ₽","CTR, %","CPC, ₽",Взвешенные показы,"Взвешенный CTR, %",Ср. объём трафика,Ср. позиция показа,Ср. позиция клика,"Отказы, %",Глубина просмотра
Итого,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4453.62,1531,81,1,1.23,4453.62,5.29,54.98,873.15,9.28,57.03,3.53,2.03,31.58,1.05
психолог,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,-,0,-,0,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Женский,35-44 года,Остальные,Не определено,-,-,Смартфоны,Android,Wi-Fi,Поиск,Прочее,Максимум конверсий с ограничением по бюджету,,0.00,29,0,0,-,-,0.00,-,16.12,0.00,55.59,5.18,-,-,-
психолог,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,-,0,-,0,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Женский,35-44 года,Остальные,Не определено,-,-,Смартфоны,Android,Wi-Fi,Поиск,Спецразмещение,Максимум конверсий с ограничением по бюджету,,0.00,16,0,0,-,-,0.00,-,12.84,0.00,80.27,1.08,-,-,-
психолог,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,-,0,-,0,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Мужской,35-44 года,Остальные,Не определено,-,-,Смартфоны,Android,Wi-Fi,Поиск,Прочее,Максимум конверсий с ограничением по бюджету,,0.00,11,0,0,-,-,0.00,-,4.69,0.00,42.67,5.09,-,-,-
психолог,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,-,0,-,0,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Женский,25-34 года,Остальные,Не определено,-,-,Смартфоны,Android,Wi-Fi,Поиск,Прочее,Максимум конверсий с ограничением по бюджету,,0.00,9,0,0,-,-,0.00,-,3.71,0.00,41.20,5.22,-,-,-
психолог,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,-,0,-,0,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Женский,Старше 55,Остальные,Не определено,-,-,Смартфоны,Android,Wi-Fi,Поиск,Прочее,Максимум конверсий с ограничением по бюджету,,0.00,9,0,0,-,-,0.00,-,2.34,0.00,26.03,5.22,-,-,-
психолог,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,-,0,-,0,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Мужской,35-44 года,Остальные,Не определено,-,-,Смартфоны,Android,Wi-Fi,Поиск,Спецразмещение,Максимум конверсий с ограничением по бюджету,,80.27,8,1,0,0.00,-,12.50,80.27,4.57,21.90,57.08,2.29,1.00,100.00,1.00
психолог,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,-,0,-,0,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Мужской,25-34 года,Остальные,Не определено,-,-,Смартфоны,Android,Wi-Fi,Поиск,Прочее,Максимум конверсий с ограничением по бюджету,,0.00,7,0,0,-,-,0.00,-,1.28,0.00,18.26,5.00,-,-,-
psysovet,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог онлайн -консультация -помощь -цена -стоимость -запись -записываться -кпт -находить -сайт -тревожность -тревога -анонимный,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,-,0,-,0,,17590706994,Активные,Текстово-графическое,Трудности с засыпанием из-за потока навязчивых мыслей?,Сессия 5000 руб.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Мужской,35-44 года,Остальные,Не определено,-,-,Смартфоны,Android,Wi-Fi,Поиск,Прочее,Максимум конверсий с ограничением по бюджету,,0.00,5,0,0,-,-,0.00,-,0.43,0.00,8.50,5.00,-,-,-
психолог,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,-,0,-,0,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Мужской,25-34 года,Остальные,Не определено,-,-,Десктопы,Не определён,Wi-Fi,Поиск,Спецразмещение,Максимум конверсий с ограничением по бюджету,,0.00,5,0,0,-,-,0.00,-,3.04,0.00,60.82,3.00,-,-,-
