№ Кампании,Название кампании,Тип условия показа,Ключевая фраза,Условие подбора аудитории,Условие подбора аудитории,Название корректировки,Корректировки,Категория запроса,Упоминания брендов в запросах,Тип соответствия,Подобранная фраза,№ Объявления,Статус объявления,Тип объявления,Заголовок,Текст,Ссылка,Путь до изображения,Название файла изображения,Идентификатор видео,Путь до превью видео,Формат,Источник текста,Тип площадки,Вид размещения,Региона таргетинга,Регион таргетинга,Регион местонахождения,Регион местонахождения,Пол,Возраст,Уровень платежеспособности,Уровень трат в категории,"Расход, ₽",Показы,Клики,"Взвешенный CTR, %","CTR, %",Ср. объём трафика,Ср. позиция показа,Конверсии,"CR, %","CPA, ₽","CPC, ₽","CPM, ₽","Ср. ставка за клик, ₽","Отказы, %",Глубина просмотра
Итого,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4453.62,1531,81,9.28,5.29,57.03,3.53,1,1.23,4453.62,54.98,2908.96,70.43,31.58,1.05
704073639,Психолог Ксения,Автотаргетинг,,-,0,-,0,Целевые запросы,Запросы без упоминания брендов,-,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Поиск,Спецразмещение,Парголово,120612,Парголово,120612,Мужской,35-44 года,6–10%,Не определено,0.00,1,0,0.00,0.00,36.29,3.00,0,-,-,-,0.00,-,-,-
704073639,Психолог Ксения,Автотаргетинг,,-,0,-,0,Целевые запросы,Запросы без упоминания брендов,-,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Поиск,Прочее,Москва,213,Москва,213,Не определен,Не определен,Остальные,Не определено,0.00,2,0,0.00,0.00,8.50,5.00,0,-,-,-,0.00,-,-,-
704073639,Психолог Ксения,Автотаргетинг,,-,0,-,0,Целевые запросы,Запросы без упоминания брендов,-,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Поиск,Прочее,Кудымкар,11076,Кудымкар,11076,Женский,35-44 года,Остальные,Не определено,0.00,2,0,0.00,0.00,65.09,5.00,0,-,-,-,0.00,-,-,-
704073639,Психолог Ксения,Автотаргетинг,,-,0,-,0,Целевые запросы,Запросы без упоминания брендов,-,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Поиск,Спецразмещение,Новочеркасск,238,Новочеркасск,238,Женский,35-44 года,Остальные,Не определено,0.00,1,0,0.00,0.00,37.47,2.00,0,-,-,-,0.00,-,-,-
704073639,Психолог Ксения,Автотаргетинг,,-,0,-,0,Целевые запросы,Запросы без упоминания брендов,-,,17349513059,Активные,Текстово-графическое,КПТ психолог онлайн,Реальные техники и упражнения,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Поиск,Прочее,Кикеринское сельское поселение,165604,Кикеринское сельское поселение,165604,Мужской,45-54 года,6–10%,Не определено,0.00,1,0,0.00,0.00,8.50,5.00,0,-,-,-,0.00,-,-,-
704073639,Психолог Ксения,Автотаргетинг,,-,0,-,0,Целевые запросы,Запросы без упоминания брендов,-,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Поиск,Прочее,Тихвин,10892,Раздолье,138085,Мужской,Старше 55,Остальные,Не определено,0.00,2,0,0.00,0.00,65.75,5.00,0,-,-,-,0.00,-,-,-
704073639,Психолог Ксения,Автотаргетинг,,-,0,-,0,Целевые запросы,Запросы без упоминания брендов,-,,17349513059,Активные,Текстово-графическое,КПТ психолог онлайн,Реальные техники и упражнения,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Поиск,Спецразмещение,Волгоград,38,Волгоград,38,Женский,25-34 года,Остальные,Не определено,35.45,1,1,171.26,100.00,58.39,4.00,0,0.00,-,35.45,35454.67,45.82,0.00,1.00
704073639,Психолог Ксения,Автотаргетинг,,-,0,-,0,Целевые запросы,Запросы без упоминания брендов,-,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Поиск,Прочее,Сочи,239,Сочи,239,Не определен,Не определен,Остальные,Не определено,0.00,1,0,0.00,0.00,8.50,5.00,0,-,-,-,0.00,-,-,-
704073639,Психолог Ксения,Автотаргетинг,,-,0,-,0,Целевые запросы,Запросы без упоминания брендов,-,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Поиск,Прочее,Учалы,20680,Учалы,20680,Мужской,25-34 года,Остальные,Не определено,0.00,1,0,0.00,0.00,100.00,5.00,0,-,-,-,0.00,-,-,-
704073639,Психолог Ксения,Автотаргетинг,,-,0,-,0,Целевые запросы,Запросы без упоминания брендов,-,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Поиск,Спецразмещение,Фрязино,21619,Фрязино,21619,Женский,25-34 года,Остальные,Не определено,0.00,1,0,0.00,0.00,73.88,4.00,0,-,-,-,0.00,-,-,-
704073639,Психолог Ксения,Автотаргетинг,,-,0,-,0,Целевые запросы,Запросы без упоминания брендов,-,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Поиск,Прочее,Железногорск,10710,Курск и область,10705,Женский,45-54 года,Остальные,Не определено,0.00,2,0,0.00,0.00,8.50,5.00,0,-,-,-,0.00,-,-,-
