"Параметр визита, ур. 1","Параметр визита, ур. 2","Параметр визита, ур. 3","Параметр визита, ур. 4","Параметр визита, ур. 5","Конверсия (Автоцель: переход в мессенджер)","Достижения цели (Автоцель: переход в мессенджер)","Целевые визиты (Автоцель: переход в мессенджер)","Доход по цели (Автоцель: переход в мессенджер), RUB","Целевые посетители (Автоцель: переход в мессенджер)","Сумма параметров визитов (Автоцель: переход в мессенджер)","Среднее параметров визитов (Автоцель: переход в мессенджер)","Количество параметров визитов (Автоцель: переход в мессенджер)","Отказы (Автоцель: переход в мессенджер)","Глубина просмотра (Автоцель: переход в мессенджер)"
"Итого и средние","","","","","0.017775229357798166","36","31","0.0","30","9223372036854775807","7.354691538749926E16","514","0.06451612903225806","1.967741935483871"
"button_position","final-cta","Не определено","Не определено","Не определено","0.9032258064516128","32","28","0.0","27","0","0.0","33","0.03571428571428571","2.0357142857142856"
"messenger_type","telegram","Не определено","Не определено","Не определено","1.0","26","22","0.0","22","0","0.0","24","0.09090909090909091","2.227272727272727"
"button_position","hero","Не определено","Не определено","Не определено","0.14423076923076922","16","15","0.0","15","0","0.0","17","0.13333333333333333","1.2"
"messenger_type","scroll-to-cta","Не определено","Не определено","Не определено","0.19696969696969696","15","13","0.0","13","0","0.0","14","0.15384615384615385","1.3846153846153846"
"ab_test_hero_headline","A","Не определено","Не определено","Не определено","0.021868787276341946","12","11","0.0","11","0","0.0","13","0.09090909090909091","1.3636363636363635"
"button_position","symptoms","Не определено","Не определено","Не определено","0.275","15","11","0.0","11","0","0.0","11","0.0","1.2727272727272727"
"color_palette","purple","Не определено","Не определено","Не определено","0.20833333333333337","14","10","0.0","10","0","0.0","23","0.1","3.2"
"ab_test_cta_button_text","A","Не определено","Не определено","Не определено","0.02318840579710145","8","8","0.0","8","0","0.0","10","0.25","1.5"
"ab_test_hero_subtitle","Психолог онлайн. Когнитивно-поведенческая терапия — от первой встречи к ощутимым переменам.","Не определено","Не определено","Не определено","0.03864734299516908","10","8","0.0","8","0","0.0","10","0.0","1.25"
"utm_campaign","704073639","Не определено","Не определено","Не определено","0.125","11","8","0.0","8","14081472780","7.04073639E8","20","0.0","1.125"
"utm_content","1890155724754657248","Не определено","Не определено","Не определено","0.14285714285714285","11","8","0.0","8","9223372036854775807","1.8901557247546573E18","20","0.0","1.125"
"utm_medium","cpc","Не определено","Не определено","Не определено","0.125","11","8","0.0","8","0","0.0","20","0.0","1.125"
"utm_source","yandex","Не определено","Не определено","Не определено","0.125","11","8","0.0","8","0","0.0","20","0.0","1.125"
"ab_test_hero_headline","B","Не определено","Не определено","Не определено","0.013972055888223554","8","7","0.0","7","0","0.0","47","0.14285714285714285","4.285714285714286"
"color_palette","green","Не определено","Не определено","Не определено","0.14","7","7","0.0","7","0","0.0","16","0.0","1.4285714285714286"
"color_palette","warm","Не определено","Не определено","Не определено","0.15555555555555556","8","7","0.0","7","0","0.0","15","0.0","1.4285714285714286"
"messenger_type","whatsapp","Не определено","Не определено","Не определено","0.7","10","7","0.0","7","0","0.0","8","0.0","1.2857142857142858"
"ab_test_cta_button_text","B","Не определено","Не определено","Не определено","0.01812688821752266","6","6","0.0","6","0","0.0","26","0.0","4.666666666666667"
"color_palette","blue","Не определено","Не определено","Не определено","0.14634146341463414","6","6","0.0","6","0","0.0","12","0.0","1.3333333333333333"
"ab_test_cta_button_text","C","Не определено","Не определено","Не определено","0.014970059880239521","7","5","0.0","5","0","0.0","24","0.0","5.4"
"ab_test_hero_subtitle","Онлайн-психолог, метод КПТ. Конкретные навыки вместо бесконечных разговоров.","Не определено","Не определено","Не определено","0.02358490566037736","5","5","0.0","5","0","0.0","7","0.0","1.2"
"ab_test_hero_title","Тревога мешает жить? Я помогу это изменить.","Не определено","Не определено","Не определено","0.023255813953488372","5","5","0.0","5","0","0.0","6","0.0","1.2"
"ab_test_hero_title","Устали бороться с тревогой? Есть метод, который работает.","Не определено","Не определено","Не определено","0.024752475247524754","6","5","0.0","5","0","0.0","10","0.0","1.4"
"button_text","Записаться","Не определено","Не определено","Не определено","0.19230769230769235","7","5","0.0","5","0","0.0","5","0.0","1.2"
"button_text","Записаться на вводную встречу","Не определено","Не определено","Не определено","0.1851851851851852","6","5","0.0","5","0","0.0","6","0.0","1.0"
"messenger_type","max","Не определено","Не определено","Не определено","1.0","6","5","0.0","5","0","0.0","6","0.0","1.4"
"ab_test_hero_cta","Записаться на вводную встречу","Не определено","Не определено","Не определено","0.01932367149758454","5","4","0.0","4","0","0.0","8","0.0","1.5"
"ab_test_hero_cta","Обсудить мою ситуацию","Не определено","Не определено","Не определено","0.01932367149758454","4","4","0.0","4","0","0.0","5","0.0","1.25"
"ab_test_hero_cta","Сделать первый шаг","Не определено","Не определено","Не определено","0.020408163265306124","5","4","0.0","4","0","0.0","4","0.0","1.5"
"ab_test_hero_cta","Узнать, подходит ли мне КПТ","Не определено","Не определено","Не определено","0.02083333333333333","5","4","0.0","4","0","0.0","6","0.0","1.0"
"ab_test_hero_title","Верните себе спокойствие. Без таблеток, без лишних слов.","Не определено","Не определено","Не определено","0.021739130434782608","6","4","0.0","4","0","0.0","4","0.0","1.25"
"button_position","footer","Не определено","Не определено","Не определено","0.5714285714285714","5","4","0.0","4","0","0.0","6","0.25","6.5"
"ab_test_hero_subtitle","Психолог онлайн. Работаю с тревогой методом КПТ — научно обоснованный подход с конкретными результатами.","Не определено","Не определено","Не определено","0.016666666666666666","3","3","0.0","3","0","0.0","4","0.0","2.0"
"ab_test_hero_title","Тревога не отпускает? Есть выход.","Не определено","Не определено","Не определено","0.015","3","3","0.0","3","0","0.0","3","0.0","1.0"
"color_palette","neutral","Не определено","Не определено","Не определено","0.23076923076923075","3","3","0.0","3","0","0.0","5","0.33333333333333326","8.0"
"utm_term","---autotargeting","Не определено","Не определено","Не определено","0.10714285714285714","5","3","0.0","3","0","0.0","8","0.0","1.0"
"ab_test_hero_subtitle","КПТ-психолог онлайн. Структурный подход: вы получите инструменты, а не просто поддержку.","Не определено","Не определено","Не определено","0.01","3","2","0.0","2","0","0.0","2","0.0","2.0"
"button_text","Обсудить мою ситуацию","Не определено","Не определено","Не определено","0.18181818181818182","2","2","0.0","2","0","0.0","2","0.0","1.0"
"button_text","Сделать первый шаг","Не определено","Не определено","Не определено","0.18181818181818182","2","2","0.0","2","0","0.0","2","0.0","1.0"
"utm_term","консультация психолога цена","Не определено","Не определено","Не определено","0.4","3","2","0.0","2","0","0.0","5","0.0","1.0"
"button_position","floating-nav","Не определено","Не определено","Не определено","0.027027027027027025","1","1","0.0","1","0","0.0","2","0.0","2.0"
"button_position","process-final","Не определено","Не определено","Не определено","0.07142857142857142","1","1","0.0","1","0","0.0","1","0.0","2.0"
"button_position","process-step1","Не определено","Не определено","Не определено","0.1111111111111111","2","1","0.0","1","0","0.0","1","0.0","1.0"
"button_text","Узнать, подходит ли мне КПТ","Не определено","Не определено","Не определено","0.0588235294117647","1","1","0.0","1","0","0.0","1","0.0","1.0"
"landing_variant","a","Не определено","Не определено","Не определено","0.045454545454545456","2","1","0.0","1","0","0.0","1","0.0","2.0"
"messenger_type","floating-nav-link","Не определено","Не определено","Не определено","0.037037037037037035","1","1","0.0","1","0","0.0","1","0.0","2.0"
"messenger_type","floating-nav-toggle","Не определено","Не определено","Не определено","0.027027027027027025","1","1","0.0","1","0","0.0","1","0.0","2.0"
"messenger_type","instagram","Не определено","Не определено","Не определено","0.25","1","1","0.0","1","0","0.0","1","0.0","22.0"
"utm_campaign","Не определено","Не определено","Не определено","Не определено","1.0","1","1","0.0","1","0","0.0","2","0.0","1.0"
"utm_content","Не определено","Не определено","Не определено","Не определено","1.0","1","1","0.0","1","0","0.0","2","0.0","1.0"
"utm_medium","Не определено","Не определено","Не определено","Не определено","1.0","1","1","0.0","1","0","0.0","2","0.0","1.0"
"utm_source","chatgpt.com","Не определено","Не определено","Не определено","1.0","1","1","0.0","1","0","0.0","2","0.0","1.0"
"utm_term","Не определено","Не определено","Не определено","Не определено","1.0","1","1","0.0","1","0","0.0","2","0.0","1.0"
"utm_term","консультация психолога онлайн","Не определено","Не определено","Не определено","0.14285714285714285","1","1","0.0","1","0","0.0","2","0.0","1.0"
"utm_term","помощь психолога при тревоге","Не определено","Не определено","Не определено","0.5","1","1","0.0","1","0","0.0","3","0.0","2.0"
"utm_term","психолог онлайн","Не определено","Не определено","Не определено","0.1111111111111111","1","1","0.0","1","0","0.0","2","0.0","1.0"
"variant","a","Не определено","Не определено","Не определено","0.047619047619047616","2","1","0.0","1","0","0.0","1","0.0","2.0"
